year	month	day	NEE	GPP	Reco	LHF
2020	9	11	2.81606	0.51291	3.32897	1.83009
2020	9	12	2.57077	0.77578	3.34655	2.23403
2020	9	13	2.66109	0.7602	3.42129	2.00374
2020	9	14	2.15632	1.05398	3.2103	2.25396
2020	9	15	1.88654	1.35004	3.23658	2.26641
2020	9	17	0.98356	2.47155	3.45511	2.54406
2020	9	18	0.54089	2.43487	2.97576	2.63534
2020	9	19	0.16394	2.55796	2.72191	2.90206
2020	9	20	-0.01789	2.87489	2.857	2.80638
2020	9	21	-0.69637	3.77778	3.0814	3.09774
2020	9	22	-0.9835	4.21404	3.23053	3.27283
2020	9	23	-1.32524	4.60726	3.28202	2.42755
2020	9	25	-1.15663	4.6495	3.49288	1.90515
2020	9	26	-1.57645	4.15975	2.5833	1.67989
2020	9	27	-2.50024	5.42937	2.92913	2.63457
2020	9	28	-1.93739	5.52525	3.58786	1.71118
2020	9	29	-1.02647	5.022	3.99553	1.62831
2020	9	30	-0.30836	4.62571	4.31735	0.81364
